TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID
5053,231048.299,455318.656,0.920,3.1,0.659,3.2,2.9,4.1,8.0,9.5,25444
5054,231097.714,455331.710,0.857,13.1,0.256,4.5,4.7,4.4,15.8,62.1,24794
5055,231120.202,455326.793,0.859,17.8,0.360,5.8,4.8,7.2,26.1,119.5,24738
5056,231137.741,455320.505,0.902,3.9,0.075,1.7,1.8,1.7,2.3,4.5,25083
5057,231135.157,455341.808,0.888,10.4,0.324,4.9,5.2,4.7,18.6,63.9,24769
5058,231121.190,455300.385,0.839,19.6,0.258,5.5,6.5,5.9,23.5,94.4,24808
5059,231148.525,455373.110,0.907,18.0,0.335,4.8,4.0,6.2,18.1,99.9,24836
5060,231118.013,455288.677,0.824,9.6,0.448,0.9,0.9,1.1,0.7,1.6,24623
5061,231134.742,455340.720,0.858,4.7,0.334,1.4,1.1,1.8,1.5,1.5,24897
5062,231100.783,455336.077,0.855,20.2,0.340,5.2,5.6,5.2,21.5,142.8,24702
5063,231114.795,455378.633,0.848,3.0,0.540,3.5,5.7,2.7,9.9,11.4,25450
5064,231110.051,455299.585,0.868,6.4,0.135,2.1,2.0,2.2,3.3,8.5,24936
5065,231107.334,455331.989,0.869,21.4,0.353,5.6,6.7,5.4,24.8,110.1,24802
5066,231134.871,455340.128,0.797,5.5,0.185,2.5,2.1,2.9,4.9,9.1,25099
5067,231127.046,455289.166,0.820,9.1,0.266,3.0,3.5,3.0,7.2,23.8,24868
5068,231122.705,455293.030,0.848,10.6,0.282,4.1,5.7,3.2,12.9,46.0,24813
5069,231085.373,455306.043,0.868,10.8,0.088,3.3,4.0,3.1,8.5,30.6,24927
5070,231147.959,455298.512,0.859,18.9,0.516,10.0,13.4,8.7,78.3,395.0,24636
5071,231127.617,455337.498,0.940,13.6,0.239,4.4,4.9,4.6,15.5,61.1,24915
5072,231121.064,455332.949,0.862,19.5,0.449,6.4,6.9,6.6,32.5,152.0,24734
5073,231087.121,455306.830,1.008,14.9,0.292,3.7,3.8,4.2,10.9,52.1,25462
5074,231119.965,455288.589,0.824,5.9,0.153,2.1,2.1,2.5,3.6,7.5,25029
5075,231133.273,455343.271,0.857,4.8,0.215,2.5,2.5,3.2,5.0,8.3,25031
5076,231104.876,455356.440,0.879,23.2,0.832,6.9,6.6,8.5,37.9,254.8,25226
5077,231084.685,455304.995,0.862,11.2,0.142,2.8,3.1,2.8,6.2,22.1,24955
5078,231125.293,455345.411,0.871,13.2,0.240,4.1,4.7,3.8,13.0,56.5,24851
5079,231098.173,455338.628,0.887,5.2,0.148,1.9,1.9,2.1,2.7,7.2,25005
5080,231133.913,455297.598,0.833,17.2,0.409,7.1,8.5,7.2,39.2,149.5,24668
5081,231131.523,455288.584,0.890,10.2,0.318,4.4,7.4,3.4,14.9,58.2,24935
